configuration_id,pair,pair_alias,method,planned,recorded,successful,successful_solver_median,successful_solver_min,successful_solver_max,resource_exit_count,resource_exit_seconds,objectives,objective_consistent,peak_rss_mib_max,r1_status,r1_solver_seconds,r1_warmup_seconds,r1_validation_seconds,r1_total_seconds,r1_peak_rss_mib,r1_k,r1_attempt_path,r2_status,r2_solver_seconds,r2_warmup_seconds,r2_validation_seconds,r2_total_seconds,r2_peak_rss_mib,r2_k,r2_attempt_path,r3_status,r3_solver_seconds,r3_warmup_seconds,r3_validation_seconds,r3_total_seconds,r3_peak_rss_mib,r3_k,r3_attempt_path,distinct_validated_output_pairs
hurricane:AL031854__AL011991:a0.5|Independent continuous,AL031854__AL011991,H1,Independent continuous,3,3,3,0.0111741999862715,0.0103710000112187,0.0113152000121772,0,[],"[5.0, 5.0, 5.0]",True,211.71875,validated,0.0111741999862715,8.921209899999667,0.0009735999919939,9.634405899996636,210.88671875,5.0,output\paper_v1\expanded_comparison\timing_study\slots\01\attempts\timing001_ceb9016ca3104a1cb2a39ea5f0d2c6e8,validated,0.0103710000112187,8.541258400015067,0.000942099984968,9.186406399996486,211.71875,5.0,output\paper_v1\expanded_comparison\timing_study\slots\44\attempts\timing044_5358bd0ba1d348c784532407cfe089a5,validated,0.0113152000121772,8.981399000011152,0.0010591000027488,9.728027500008466,210.99609375,5.0,output\paper_v1\expanded_comparison\timing_study\slots\83\attempts\timing083_d84a638aceb1487ab978b20fbe0bef43,1
hurricane:AL031854__AL011991:a0.5|Independent discrete,AL031854__AL011991,H1,Independent discrete,3,3,3,0.0059556000051088,0.0057226000062655,0.0069476000207941,0,[],"[20.0, 20.0, 20.0]",True,194.2578125,validated,0.0069476000207941,6.757566600019345,0.0034298000100534,7.431935900007375,193.94921875,20.0,output\paper_v1\expanded_comparison\timing_study\slots\02\attempts\timing002_f2582108108a47ec810b171e03be260f,validated,0.0059556000051088,5.769841800007271,0.0027509999927133,6.354025599983288,193.37109375,20.0,output\paper_v1\expanded_comparison\timing_study\slots\41\attempts\timing041_08d1e334250148b4b88b6880f4b9c806,validated,0.0057226000062655,6.229263999994146,0.0029242000018712,6.881007999996655,194.2578125,20.0,output\paper_v1\expanded_comparison\timing_study\slots\84\attempts\timing084_80703ecc324f4211bff59a6ec8b5d54c,1
hurricane:AL031854__AL011991:a0.5|CPS-2F,AL031854__AL011991,H1,CPS-2F,3,3,3,8.219130400015274,8.125591099989833,9.980473000003258,0,[],"[5.0, 5.0, 5.0]",True,223.84765625,validated,9.980473000003258,9.911079499986954,0.0010614999919198,20.53023549998761,223.1015625,5.0,output\paper_v1\expanded_comparison\timing_study\slots\03\attempts\timing003_91287d00e9f34cdda177cb0c70d754f8,validated,8.125591099989833,8.796588700002758,0.0010211000044364,17.56663009998738,223.33203125,5.0,output\paper_v1\expanded_comparison\timing_study\slots\42\attempts\timing042_d18a2b6bd85448878d2ccba032709fd8,validated,8.219130400015274,8.873900300008245,0.0009197999897878,17.667477699986193,223.84765625,5.0,output\paper_v1\expanded_comparison\timing_study\slots\81\attempts\timing081_b7e564b364004fabb2a3552cbcffb5f7,1
hurricane:AL031854__AL011991:a0.5|CPS-3F,AL031854__AL011991,H1,CPS-3F,3,3,3,0.0361633000138681,0.0358501000155229,0.0363560999976471,0,[],"[20.0, 20.0, 20.0]",True,195.12890625,validated,0.0363560999976471,6.845011900004465,0.0030934000096749,7.515501399990171,195.12890625,20.0,output\paper_v1\expanded_comparison\timing_study\slots\04\attempts\timing004_22e5a2e3bf774d53a43b8e43cce41f84,validated,0.0358501000155229,6.160598199989181,0.002978600008646,6.77189350000117,194.8125,20.0,output\paper_v1\expanded_comparison\timing_study\slots\43\attempts\timing043_091929f2c4b84236b7484b694975b242,validated,0.0361633000138681,5.825706200004788,0.0026905999984592,6.486699200002477,194.5859375,20.0,output\paper_v1\expanded_comparison\timing_study\slots\82\attempts\timing082_ed13f44e02264e70b16e4a0d3cd2936d,1
hurricane:EP021949__EP031949:a0.5|Independent continuous,EP021949__EP031949,H2,Independent continuous,3,3,3,0.0107030000071972,0.0105566999991424,0.0111270000052172,0,[],"[5.0, 5.0, 5.0]",True,211.89453125,validated,0.0111270000052172,8.794561399990926,0.0009349000174552,9.455257399997208,211.26953125,5.0,output\paper_v1\expanded_comparison\timing_study\slots\05\attempts\timing005_63d66b580c76492f8c20d6a55a783a33,validated,0.0107030000071972,9.149852599977748,0.0009511999960523,9.915792899992084,211.65234375,5.0,output\paper_v1\expanded_comparison\timing_study\slots\48\attempts\timing048_0061b62f345144a6bb1c4c8d33303e74,validated,0.0105566999991424,8.146136299998034,0.0009260999795515,8.792801400006283,211.89453125,5.0,output\paper_v1\expanded_comparison\timing_study\slots\87\attempts\timing087_30db0f4fd2154870ad84f7df21d61a1d,1
hurricane:EP021949__EP031949:a0.5|Independent discrete,EP021949__EP031949,H2,Independent discrete,3,3,3,0.0063085999863687,0.0055990999971982,0.0072754000138957,0,[],"[25.0, 25.0, 25.0]",True,194.4765625,validated,0.0055990999971982,6.808906399994157,0.0033163999905809,7.465035300003365,194.4765625,25.0,output\paper_v1\expanded_comparison\timing_study\slots\06\attempts\timing006_32e247fbc1d54a12b378ee5da4837176,validated,0.0072754000138957,5.743936800019583,0.0031518000178039,6.35659450001549,193.8359375,25.0,output\paper_v1\expanded_comparison\timing_study\slots\45\attempts\timing045_6e220ac265ab4522a3d797dacb752db0,validated,0.0063085999863687,6.290014700003667,0.0032094999914988,6.8780301999941,193.96875,25.0,output\paper_v1\expanded_comparison\timing_study\slots\88\attempts\timing088_469bd66de5e54646bbe69f6a857aa395,1
hurricane:EP021949__EP031949:a0.5|CPS-2F,EP021949__EP031949,H2,CPS-2F,3,3,3,1.663749999977881,1.5719833999755792,1.7414986999938264,0,[],"[6.0, 6.0, 6.0]",True,223.1875,validated,1.7414986999938264,9.759093900007429,0.0011251000105403,12.105859200004488,222.6796875,6.0,output\paper_v1\expanded_comparison\timing_study\slots\07\attempts\timing007_f777e4017a074c799ee70cf9fb0b7ae3,validated,1.5719833999755792,8.80285670000012,0.0010742000013124,10.99337189999642,222.87890625,6.0,output\paper_v1\expanded_comparison\timing_study\slots\46\attempts\timing046_88107b88146047538150a92cf209fbc7,validated,1.663749999977881,8.837104000005638,0.0009343999845441,11.059025200025644,223.1875,6.0,output\paper_v1\expanded_comparison\timing_study\slots\85\attempts\timing085_0386a812673f4e6bb740b94ff58740d4,1
hurricane:EP021949__EP031949:a0.5|CPS-3F,EP021949__EP031949,H2,CPS-3F,3,3,3,0.0312761000241152,0.0296968999900855,0.0484124000067822,0,[],"[25.0, 25.0, 25.0]",True,195.1796875,validated,0.0296968999900855,6.210817299986957,0.0030231999990064,6.86720370000694,195.1796875,25.0,output\paper_v1\expanded_comparison\timing_study\slots\08\attempts\timing008_db19840cf2ca485c80755c771660e2cc,validated,0.0484124000067822,6.311955799988937,0.0048884999996516,6.976548100006767,194.87890625,25.0,output\paper_v1\expanded_comparison\timing_study\slots\47\attempts\timing047_229e01b22b014da5a1879c5da22ab554,validated,0.0312761000241152,5.735575799975777,0.0028074999863747,6.351110299990978,193.828125,25.0,output\paper_v1\expanded_comparison\timing_study\slots\86\attempts\timing086_37650c94f3cb46fbbcf8cb191f844d34,1
protein:1o7j.a__1d9q.d:a0.5|Independent continuous,1o7j.a__1d9q.d,P1,Independent continuous,3,3,3,0.0098547000088728,0.0097650999960023,0.0098969000100623,0,[],"[16.0, 16.0, 16.0]",True,229.5703125,validated,0.0097650999960023,7.914212000003317,0.0022946000099182,10.724911899975268,229.55078125,16.0,output\paper_v1\expanded_comparison\timing_study\slots\09\attempts\timing009_0e304943d7634b6ebd5fd000f0050718,validated,0.0098969000100623,8.62611489999108,0.0024524999898858,11.63196319999406,229.25390625,16.0,output\paper_v1\expanded_comparison\timing_study\slots\52\attempts\timing052_44dc1fc77da94152a3c2f91297b16ebe,validated,0.0098547000088728,7.977670199994463,0.0022039000177755,10.969140599976528,229.5703125,16.0,output\paper_v1\expanded_comparison\timing_study\slots\91\attempts\timing091_1355b8224b81406a85aaae8e366b4125,1
protein:1o7j.a__1d9q.d:a0.5|Independent discrete,1o7j.a__1d9q.d,P1,Independent discrete,3,3,3,0.0058182000066153,0.0051846999849658,0.0058608999825082,0,[],"[20.0, 20.0, 20.0]",True,215.3203125,validated,0.0051846999849658,6.003299400006654,0.0025527999969199,9.118056999985129,215.3203125,20.0,output\paper_v1\expanded_comparison\timing_study\slots\10\attempts\timing010_05359e8789814828b948f789b9e1022f,validated,0.0058182000066153,6.211593799991533,0.0024219000188168,9.393187200010289,214.69140625,20.0,output\paper_v1\expanded_comparison\timing_study\slots\49\attempts\timing049_82402c9475b542c994e0308f8177c44c,validated,0.0058608999825082,6.054762399988249,0.0028543999942485,9.454461699991953,214.7265625,20.0,output\paper_v1\expanded_comparison\timing_study\slots\92\attempts\timing092_5cb6f49df714490398d7382f6dd28c7c,1
protein:1o7j.a__1d9q.d:a0.5|CPS-2F,1o7j.a__1d9q.d,P1,CPS-2F,3,3,3,7.010161899990635,6.7771302000037394,7.021764400007669,0,[],"[16.0, 16.0, 16.0]",True,242.390625,validated,7.021764400007669,9.172764699993422,0.0063336000021081,19.82888310000999,242.390625,16.0,output\paper_v1\expanded_comparison\timing_study\slots\11\attempts\timing011_92955b14c2df45d8b4bf377aa3a4f8ba,validated,7.010161899990635,8.861293899972225,0.0024054999812506,18.853732499992475,241.88671875,16.0,output\paper_v1\expanded_comparison\timing_study\slots\50\attempts\timing050_55548b9a12924858b5eac2d2766166e8,validated,6.7771302000037394,8.87269789999118,0.0278543999884277,26.3111360000039,242.37109375,16.0,output\paper_v1\expanded_comparison\timing_study\slots\89\attempts\timing089_76513a8a806a437eba938b48534deb91,1
