domain,pair,case,nA,nB,units,alpha,s_A,s_B,delta1,delta2,delta3,input_file,method,certificate_enabled,status,route,phase,configuration_graph_entered,chain_graph_calls,chain_graphs_completed,repetition,cached,hard_seconds,memory_limit_mib,failure_reason,process_wall_seconds,peak_process_rss_mib,measured_execution_count,preprocessing_chain_graph_calls,raw_status,solve_seconds,warmup_seconds,traceback,kA,kB,k,compression_removed_pct,continuous_A_lower,continuous_A_upper,continuous_B_lower,continuous_B_upper,discrete_fidelity_A,discrete_fidelity_B,coupling_distance,coupling_budget_ratio,coupling_feasible,unequal_output_lengths,repeated_coupling_index,constraints_valid,states_discovered,transitions_examined,dDF,verified,seconds,lower_bound,states,transitions,auxiliary_A,auxiliary_B,baseline_method,baseline_missing,vertex_cost_vs_matching_baseline,provenance_file,provenance_sha256,new_execution,new_timing_repetition
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,4.522730700002285,153.36328125,1,0,optimal_independent_baseline,0.100768499993137,2.3243304999923566,,5.0,5.0,5.0,80.0,83.14593175646442,83.14594063973813,80.16283771723884,80.16284354133512,1192.29281437758,781.6969685577142,725.5714648587692,1.7024831862636949,False,False,False,True,,,,,,,,,,,Independent continuous,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,3.5327613999979803,152.328125,1,0,optimal_independent_baseline,0.0089663999970071,0.871146100005717,,20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,16.298407143279604,16.29841681775634,84.06764326731184,81.15539294939066,426.1842176844774,1.0,True,True,True,True,,,,,,,,,,,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a0.5,25,25,projected km,0.5,170.55199340819394,164.03192020188183,85.27599670409697,82.01596010094092,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,3.221796500001801,152.9609375,1,2,optimal_configuration_graph,0.033035500004189,0.7651216999947792,,20.0,19.0,20.0,22.0,32.61762019704306,32.617625207865075,26.888781912208465,26.88879167977132,84.06764326731184,81.93625588577981,426.1842176844774,1.0,True,True,True,True,522.0,6544.0,426.1842176844774,True,0.0314004999963799,20.0,522.0,6544.0,0.0,0.0,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,2.818880100006936,153.41796875,1,0,optimal_independent_baseline,0.0153819999977713,0.7915296999999555,,4.0,4.0,4.0,84.0,157.86509683758018,157.8651061347527,141.92971402346427,141.92972095819664,1247.8453722730112,930.7640236675084,465.82897638768674,1.0930225875528785,False,False,False,True,,,,,,,,,,,Independent continuous,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,2.7273774999921443,151.9765625,1,0,optimal_independent_baseline,0.0095616000035079,0.7001473999989685,,16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,156.28309691137423,155.6376060886313,426.1842176844774,1.0,True,True,True,True,,,,,,,,,,,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,AL031854__AL011991,hurricane:AL031854__AL011991:a1,25,25,projected km,1.0,170.55199340819394,164.03192020188183,170.55199340819394,164.03192020188183,426.1842176844774,output\paper_v1\inputs\hurricane_AL031854__AL011991.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,1.4667590000026394,154.09765625,1,2,optimal_configuration_graph,0.0813084000110393,0.3532412000058684,,16.0,15.0,16.0,38.0,35.02627340802511,35.02628272322359,68.9345213613083,68.93453063803253,156.28309691137423,155.6376060886313,426.1842176844774,1.0,True,True,True,True,1742.0,49344.0,426.1842176844774,True,0.0798611999925924,16.0,1742.0,49344.0,0.0,0.0,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.4035826999897836,153.64453125,1,0,optimal_independent_baseline,0.0082931999932043,0.3879180999938398,,5.0,5.0,5.0,80.0,35.1840214931716,35.1840301942676,31.64601049174981,31.64601859317827,291.9603338383658,543.6776607993012,790.6098883954147,1.3984626803959483,False,False,False,True,,,,,,,,,,,Independent continuous,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.343433100002585,152.1796875,1,0,optimal_independent_baseline,0.0033285999961663,0.3323518999968655,,25.0,18.0,25.0,14.000000000000002,0.0,0.0,22.25245746964613,22.252463374099925,0.0,24.76507416362809,565.3421428246969,1.0,True,True,True,True,,,,,,,,,,,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a0.5,25,25,projected km,0.5,80.51014757430335,72.96314160303547,40.25507378715167,36.48157080151773,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,1.3517385999875842,152.5859375,1,2,optimal_configuration_graph,0.0199004000023705,0.3482748999958858,,25.0,18.0,25.0,14.000000000000002,0.0,0.0,22.25245746964613,22.252463374099925,0.0,24.76507416362809,565.3421428246969,1.0,True,True,True,True,301.0,1923.0,565.3421428246969,True,0.0112611000076867,25.0,301.0,1923.0,0.0,0.0,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent continuous,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.417559200010146,153.6796875,1,0,optimal_independent_baseline,0.0084919000073568,0.3850072999921394,,4.0,2.0,4.0,88.0,74.17098170750162,74.17098805862149,67.44353913346764,67.44354470021463,426.21643906620966,747.1561342533432,674.8358646699581,1.1936769144755115,False,True,True,True,,,,,,,,,,,Independent continuous,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,Independent discrete,False,optimal,independent_optimization,independent_optimization,False,0,0,1,False,20.0,512,,1.3437936999980593,152.24609375,1,0,optimal_independent_baseline,0.0122707999980775,0.3345934999961173,,15.0,15.0,15.0,40.0,11.64030429767748,11.640313576960905,67.44353572739033,67.44354376728727,77.8402711599851,67.44354376728727,563.7413269498431,0.9971684122700364,True,False,True,True,,,,,,,,,,,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
hurricane,EP021949__EP031949,hurricane:EP021949__EP031949:a1,25,25,projected km,1.0,80.51014757430335,72.96314160303547,80.51014757430335,72.96314160303547,565.3421428246969,output\paper_v1\inputs\hurricane_EP021949__EP031949.npz,CPS-3F,False,optimal,configuration_graph,configuration_graph,True,2,2,1,False,20.0,512,,1.40245340000547,153.0703125,1,2,optimal_configuration_graph,0.0167853000020841,0.3438222999975551,,15.0,15.0,15.0,40.0,12.745912359011363,12.745921638294789,67.44353572739033,67.44354376728727,77.8402711599851,67.44354376728727,563.7413269498431,0.9971684122700364,True,False,True,True,575.0,5345.0,563.7413269498431,True,0.0158905000134836,15.0,575.0,5345.0,0.0,0.0,Independent discrete,False,0.0,output/paper_v1/graph_only_v1/pilot_results.csv,d3bcfa506dd71159ba351b0e25784982633032e63db8206bf17ef5029591963e,False,False
